harpnum,t0,input_span_hours,stride_hours,horizons_hours,frame_count_in_window,obs_coverage,window_uid,has_noaa_mapping,y_geq_M_6h,event_count_6h,is_masked_6h,is_partial_ok_6h,horizon_coverage_6h,y_geq_M_12h,event_count_12h,is_masked_12h,is_partial_ok_12h,horizon_coverage_12h,y_geq_M_24h,event_count_24h,is_masked_24h,is_partial_ok_24h,horizon_coverage_24h,prob,y_true,y_pred,error_kind,cmd_deg,flare_max_class_letter,flare_near_miss_c
6167,2015-12-17 19:00:00+00:00,48,6,[ 6 12 24],37,0.7551020408163265,5b9fdcaa897cfd97,True,False,0,True,False,0.0,False,0,True,False,0.0,False,0,True,False,0.0,0.07285147905349731,0,0,TN,64.172914088553,,False
6178,2015-12-17 19:00:00+00:00,48,6,[ 6 12 24],49,1.0,bd85d05873aa7be9,True,False,0,True,False,0.0,False,0,True,False,0.0,False,0,True,False,0.0,0.24818502366542816,0,0,TN,-16.59250471144702,,False
6172,2015-12-17 23:00:00+00:00,48,6,[ 6 12 24],49,1.0,1dbc26eeaf7491b2,True,False,0,True,False,0.0,False,0,True,False,0.0,False,0,True,False,0.0,0.13831399381160736,0,0,TN,23.274418065281566,,False
6189,2015-12-17 23:00:00+00:00,48,6,[ 6 12 24],49,1.0,867a69f121863baf,True,False,0,True,False,0.0,False,0,True,False,0.0,False,0,True,False,0.0,0.06373913586139679,0,0,TN,-7.517818034718431,,False
6167,2015-12-18 01:00:00+00:00,48,6,[ 6 12 24],35,0.7142857142857143,15f411d127d31899,True,False,0,True,False,0.0,False,0,True,False,0.0,False,0,True,False,0.0,0.07451087981462479,0,0,TN,67.56705861342223,,False
6178,2015-12-18 01:00:00+00:00,48,6,[ 6 12 24],49,1.0,c0baa56d72ed4446,True,False,0,True,False,0.0,False,0,True,False,0.0,False,0,True,False,0.0,0.22371844947338104,0,0,TN,-13.246845486577797,,False
6172,2015-12-18 05:00:00+00:00,48,6,[ 6 12 24],49,1.0,c5b6021f7ecaf940,True,False,0,True,False,0.0,False,0,True,False,0.0,False,0,True,False,0.0,0.119545578956604,0,0,TN,26.635648842296234,,False
6189,2015-12-18 05:00:00+00:00,48,6,[ 6 12 24],49,1.0,056231998e55cbf7,True,False,0,True,False,0.0,False,0,True,False,0.0,False,0,True,False,0.0,0.06579741835594177,0,0,TN,-4.179452757703785,,False
6167,2015-12-18 07:00:00+00:00,48,6,[ 6 12 24],34,0.6938775510204082,5692bc46b92ba0bd,True,False,0,True,False,0.0,False,0,True,False,0.0,False,0,True,False,0.0,0.0814412459731102,0,0,TN,70.98087452756931,,False
6178,2015-12-18 07:00:00+00:00,48,6,[ 6 12 24],49,1.0,180955e2a7b85886,True,False,0,True,False,0.0,False,0,True,False,0.0,False,0,True,False,0.0,0.2537713944911957,0,0,TN,-9.868376372430703,,False
6172,2015-12-18 11:00:00+00:00,48,6,[ 6 12 24],49,1.0,b08f8d9c94582281,True,False,0,True,False,0.0,False,0,True,False,0.0,False,0,True,False,0.0,0.09255649149417877,0,0,TN,30.01314904952352,,False
6189,2015-12-18 11:00:00+00:00,48,6,[ 6 12 24],49,1.0,5aa16b1565e7995b,True,False,0,True,False,0.0,False,0,True,False,0.0,False,0,True,False,0.0,0.06758078932762146,0,0,TN,-0.8247491504765208,,False
6167,2015-12-18 13:00:00+00:00,48,6,[ 6 12 24],34,0.6938775510204082,37cbb1054d5a2439,True,False,0,True,False,0.0,False,0,True,False,0.0,False,0,True,False,0.0,0.08123963326215744,0,0,TN,74.39461788944166,,False
6178,2015-12-18 13:00:00+00:00,48,6,[ 6 12 24],49,1.0,7ba607d294a53c7b,True,False,0,True,False,0.0,False,0,True,False,0.0,False,0,True,False,0.0,0.22366471588611603,0,0,TN,-6.490086510558342,,False
6172,2015-12-18 17:00:00+00:00,48,6,[ 6 12 24],49,1.0,e971840dc7d8ad9f,True,False,0,True,False,0.0,False,0,True,False,0.0,False,0,True,False,0.0,0.09820839017629623,0,0,TN,33.3623407336558,,False
6189,2015-12-18 17:00:00+00:00,48,6,[ 6 12 24],49,1.0,1956b907801ff9ba,True,False,0,True,False,0.0,False,0,True,False,0.0,False,0,True,False,0.0,0.0666060596704483,0,0,TN,2.501546233655773,,False
6167,2015-12-18 19:00:00+00:00,48,6,[ 6 12 24],34,0.6938775510204082,23231bb76815551a,True,False,0,True,False,0.0,False,0,True,False,0.0,False,0,True,False,0.0,0.08640817552804947,0,0,TN,77.77566573985285,,False
